"","c.0.809160305343511..0.809160305343511..0.801526717557252..0.801526717557252..","c.0.9375..0.9375..0.875..0.875..0.6875..0.6875..0.6875..0.6875..","c.0.824561403508772..0.815789473684211..0.807017543859649..0.789473684210526..","c.0.9..0.9..0.9..0.9..0.9..0.85..0.8..0.65..0.65..0.6..0.6..0.6.."
"90",0.00763358778625954,0.0625,0.0087719298245614,0.05
"91",0.00763358778625954,0.0625,0.0087719298245614,0.05
"92",0.00763358778625954,0.0625,0.0087719298245614,0.05
"93",0.00763358778625954,0.0625,0.0087719298245614,0.05
"94",0.00763358778625954,0.0625,0.0087719298245614,0.05
"95",0.00763358778625954,0.0625,0.0087719298245614,0.05
"96",0.00763358778625954,0.0625,0.0087719298245614,0.05
"97",0.00763358778625954,0.0625,0.0087719298245614,0.05
"98",0.00763358778625954,0.0625,0.0087719298245614,0.05
"99",0.00763358778625954,0.0625,0.0087719298245614,0.05
"100",0.00763358778625954,0.0625,0.0087719298245614,0.05
"101",0.152671755725191,0.0625,0.166666666666667,0.1
"102",0.129770992366412,0.0625,0.12280701754386,0.05
"103",0.106870229007634,0,0.105263157894737,0.05
